Smith;1234567890;smith@example.com;1
Johnson;2345678901;johnson@example.com;4
Williams;3456789012;williams@example.com;3
Brown;4567890123;brown@example.com;4
Jones;5678901234;jones@example.com;2
Garcia;6789012345;garcia@example.com;1
Miller;7890123456;miller@example.com;4
Davis;8901234567;davis@example.com;2
Martinez;9012345678;martinez@example.com;3
Wilson;1234509876;wilson@example.com;1
Anderson;2345678901;anderson@example.com;4
Taylor;3456789012;taylor@example.com;2
Thomas;4567890123;thomas@example.com;3
Hernandez;5678901234;hernandez@example.com;1
Moore;6789012345;moore@example.com;3
Perez;7890123456;perez@example.com;1
Sanchez;8901234567;sanchez@example.com;2
Clark;9012345678;clark@example.com;4
Lewis;1234509876;lewis@example.com;1
Lee;2345678901;lee@example.com;2
Walker;3456789012;walker@example.com;3
Hall;4567890123;hall@example.com;4
Young;5678901234;young@example.com;2
Allen;6789012345;allen@example.com;3
Wright;7890123456;wright@example.com;1
King;8901234567;king@example.com;2
Scott;9012345678;scott@example.com;4
Green;1234509876;green@example.com;1
Baker;2345678901;baker@example.com;2
Smith;1234567890;smith@example.com;3
Ponomarenko;9876543210;ponomarenko@example.com;4
Melnykova;8765432109;melnykova@example.com;1
Yermakova;7654321098;yermakova@example.com;2
Radchenko;6543210987;radchenko@example.com;3
Shevchenko;5432109876;shevchenko@example.com;4
Boyko;4321098765;boyko@example.com;4
Gavrylenko;3210987654;gavrylenko@example.com;4
Kucher;2109876543;kucher@example.com;4
Sydorenko;1098765432;sydorenko@example.com;4
Malyarenko;9876501234;malyarenko@example.com;4
